2023-04-10 22:10:10,924 :INFO :WaitUntilVisible :Wait until element is Visible  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,946 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,946 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,946 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,946 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,946 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,946 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,946 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,981 :INFO :WaitUntilClickable :Wait until element is Clickable  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,981 :INFO :WaitUntilClickable :Wait until element is Clickable  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,981 :INFO :WaitUntilClickable :Wait until element is Clickable  ('id', 'dropdown-class-example')
2023-04-10 22:10:10,981 :INFO :WaitUntilClickable :Wait until element is Clickable  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,002 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('id', 'dropdown-class-example')
2023-04-10 22:10:11,002 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('id', 'dropdown-class-example')
2023-04-10 22:10:11,002 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('id', 'dropdown-class-example')
2023-04-10 22:10:11,002 :INFO :WaitUntilEnabled :Wait Until element is Enabled ('id', 'dropdown-class-example')
2023-04-10 22:10:11,022 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,022 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,022 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,022 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,022 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,022 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,022 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,022 :INFO :SteadyWait :Actions Click Element  ('id', 'dropdown-class-example')
2023-04-10 22:10:11,390 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,390 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,390 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,390 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,390 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,390 :INFO :WaitUntilVisible :Wait until element is Visible  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:11,420 :INFO :SteadyWait :Actions Click Element  ('xpath', "//*[@name='enter-name']")
2023-04-10 22:10:17,169 :INFO :after_scenario :Browser Closed
